date,time,price,target_base_price,entry_price,since_entry_change_pct,predicted_trend,trend_code,confidence,next_change_pct,actual_trend,correct,year
2025-10-01,2025-10-01 00:00,114048.93,114048.93,114048.93,0.0,中性,1,29.66,0.17,涨,False,2025
2025-10-01,2025-10-01 01:00,114239.53,114239.53,114048.93,0.17,中性,1,29.42,0.27,涨,False,2025
2025-10-01,2025-10-01 02:00,114549.99,114549.99,114048.93,0.44,中性,1,29.15,-0.24,跌,False,2025
2025-10-01,2025-10-01 03:00,114272.15,114272.15,114048.93,0.2,中性,1,28.82,-0.08,平,True,2025
2025-10-01,2025-10-01 04:00,114176.92,114176.92,114048.93,0.11,中性,1,28.45,0.1,平,True,2025
2025-10-01,2025-10-01 05:00,114289.01,114289.01,114048.93,0.21,中性,1,28.08,0.25,涨,False,2025
2025-10-01,2025-10-01 06:00,114569.84,114569.84,114048.93,0.46,中性,1,27.66,-0.27,跌,False,2025
2025-10-01,2025-10-01 07:00,114256.81,114256.81,114048.93,0.18,中性,1,27.23,0.25,涨,False,2025
2025-10-01,2025-10-01 08:00,114539.02,114539.02,114048.93,0.43,中性,1,26.85,1.37,涨,False,2025
2025-10-01,2025-10-01 09:00,116111.28,116111.28,114048.93,1.81,中性,1,26.33,0.26,涨,False,2025
2025-10-01,2025-10-01 10:00,116412.1,116412.1,114048.93,2.07,中性,1,26.12,-0.11,跌,False,2025
2025-10-01,2025-10-01 11:00,116281.64,116281.64,114048.93,1.96,中性,1,25.94,0.44,涨,False,2025
2025-10-01,2025-10-01 12:00,116789.58,116789.58,114048.93,2.4,中性,1,25.82,-0.33,跌,False,2025
2025-10-01,2025-10-01 13:00,116402.65,116402.65,114048.93,2.06,中性,1,25.72,0.35,涨,False,2025
2025-10-01,2025-10-01 14:00,116806.96,116806.96,114048.93,2.42,中性,1,25.69,0.42,涨,False,2025
2025-10-01,2025-10-01 15:00,117292.74,117292.74,114048.93,2.84,中性,1,25.68,0.11,涨,False,2025
2025-10-01,2025-10-01 16:00,117423.73,117423.73,114048.93,2.96,中性,1,25.66,0.1,平,True,2025
2025-10-01,2025-10-01 17:00,117535.79,117535.79,114048.93,3.06,中性,1,25.64,-0.65,跌,False,2025
2025-10-01,2025-10-01 18:00,116768.07,116768.07,114048.93,2.38,中性,1,25.6,0.4,涨,False,2025
2025-10-01,2025-10-01 19:00,117234.01,117234.01,114048.93,2.79,中性,1,25.6,0.18,涨,False,2025
2025-10-01,2025-10-01 20:00,117439.53,117439.53,114048.93,2.97,中性,1,25.59,0.08,平,True,2025
2025-10-01,2025-10-01 21:00,117536.12,117536.12,114048.93,3.06,中性,1,25.61,0.02,平,True,2025
2025-10-01,2025-10-01 22:00,117554.96,117554.96,114048.93,3.07,中性,1,25.65,0.16,涨,False,2025
2025-10-01,2025-10-01 23:00,117745.39,117745.39,114048.93,3.24,中性,1,25.67,0.72,涨,False,2025
2025-10-02,2025-10-02 00:00,118594.99,118594.99,114048.93,3.99,中性,1,25.6,-0.14,跌,False,2025
2025-10-02,2025-10-02 01:00,118428.46,118428.46,114048.93,3.84,中性,1,25.5,0.16,涨,False,2025
2025-10-02,2025-10-02 02:00,118617.37,118617.37,114048.93,4.01,中性,1,25.4,0.11,涨,False,2025
2025-10-02,2025-10-02 03:00,118753.73,118753.73,114048.93,4.13,中性,1,25.31,-0.02,平,True,2025
2025-10-02,2025-10-02 04:00,118733.99,118733.99,114048.93,4.11,中性,1,25.24,-0.06,平,True,2025
2025-10-02,2025-10-02 05:00,118662.04,118662.04,114048.93,4.04,中性,1,25.19,-0.24,跌,False,2025
2025-10-02,2025-10-02 06:00,118377.34,118377.34,114048.93,3.8,中性,1,25.16,0.23,涨,False,2025
2025-10-02,2025-10-02 07:00,118649.06,118649.06,114048.93,4.03,中性,1,25.14,-0.13,跌,False,2025
2025-10-02,2025-10-02 08:00,118489.76,118489.76,114048.93,3.89,中性,1,25.16,0.15,涨,False,2025
2025-10-02,2025-10-02 09:00,118668.89,118668.89,114048.93,4.05,中性,1,25.21,0.15,涨,False,2025
2025-10-02,2025-10-02 10:00,118849.99,118849.99,114048.93,4.21,中性,1,25.3,-0.19,跌,False,2025
2025-10-02,2025-10-02 11:00,118619.56,118619.56,114048.93,4.01,中性,1,25.35,0.12,涨,False,2025
2025-10-02,2025-10-02 12:00,118765.73,118765.73,114048.93,4.14,中性,1,25.38,0.54,涨,False,2025
2025-10-02,2025-10-02 13:00,119402.42,119402.42,114048.93,4.69,中性,1,25.38,0.18,涨,False,2025
2025-10-02,2025-10-02 14:00,119621.2,119621.2,114048.93,4.89,中性,1,25.35,-0.67,跌,False,2025
2025-10-02,2025-10-02 15:00,118814.09,118814.09,114048.93,4.18,中性,1,25.27,0.92,涨,False,2025
2025-10-02,2025-10-02 16:00,119910.78,119910.78,114048.93,5.14,中性,1,25.16,-0.15,跌,False,2025
2025-10-02,2025-10-02 17:00,119731.4,119731.4,114048.93,4.98,中性,1,25.07,0.16,涨,False,2025
2025-10-02,2025-10-02 18:00,119917.52,119917.52,114048.93,5.15,中性,1,25.03,0.49,涨,False,2025
